fipsst,fipsco,pop_total,aadr70,aadr00,cutoff70_a,cutoff00_a,stroke_belt70,stroke_belt00
05,05051,70567,.00056466169,.00086932734,.00070765469,.0010762762,0,0
05,05053,13017,.00059623696,.00094744295,.00070765469,.0010762762,0,0
05,05055,30757,.00096962106,.0014763694,.00070765469,.0010762762,1,1
05,05057,23582,.00084145414,.0013198591,.00070765469,.0010762762,1,1
05,05059,26811,.0006565433,.00099870586,.00070765469,.0010762762,0,0
05,05061,13468,.00072586309,.0010020108,.00070765469,.0010762762,1,0
05,05063,30305,.00083921064,.0012237988,.00070765469,.0010762762,1,1
05,05065,10773,.00042035611,.00057719322,.00070765469,.0010762762,0,0
05,05067,21602,.00064721867,.00094468822,.00070765469,.0010762762,0,0
05,05069,90660,.00085069262,.0012137652,.00070765469,.0010762762,1,1
05,05071,17496,.00044888278,.00065768231,.00070765469,.0010762762,0,0
05,05073,10198,.00038079356,.00064772216,.00070765469,.0010762762,0,0
05,05075,18496,.00027521054,.00043334841,.00070765469,.0010762762,0,0
05,05077,15534,.00064442563,.0008548802,.00070765469,.0010762762,0,0
05,05079,13372,.000098545512,.00017363619,.00070765469,.0010762762,0,0
05,05081,13967,.00045529567,.00071428547,.00070765469,.0010762762,0,0
05,05083,20184,.00038035429,.00056237268,.00070765469,.0010762762,0,0
05,05085,34580,.00054600363,.00084026461,.00070765469,.0010762762,0,0
05,05087,11372,.00062099152,.00097400817,.00070765469,.0010762762,0,0
05,05089,11354,.00060038705,.0009330071,.00070765469,.0010762762,0,0
05,05091,37859,.00069599331,.00089530356,.00070765469,.0010762762,0,0
05,05093,59437,.0010673011,.0015659183,.00070765469,.0010762762,1,1
05,05095,13993,.00043114604,.0006195865,.00070765469,.0010762762,0,0
05,05097,7749,.00041633879,.00066340272,.00070765469,.0010762762,0,0
05,05099,11092,.00092379941,.0014719593,.00070765469,.0010762762,1,1
05,05103,30576,.00064144918,.00088709861,.00070765469,.0010762762,0,0
05,05105,7294,.00046437929,.0005795192,.00070765469,.0010762762,0,0
05,05107,34649,.0012887238,.0018854081,.00070765469,.0010762762,1,1
05,05109,10368,.00077769865,.0013102369,.00070765469,.0010762762,1,1
05,05111,26987,.0002733997,.00039303285,.00070765469,.0010762762,0,0
05,05113,17068,.00073633553,.0011350426,.00070765469,.0010762762,1,1
05,05115,39222,.00070683146,.0010960267,.00070765469,.0010762762,0,1
05,05117,10134,.000066915556,.000099648896,.00070765469,.0010762762,0,0
05,05119,341038,.0012267978,.0017460783,.00070765469,.0010762762,1,1
05,05121,16797,.00032651745,.00057924213,.00070765469,.0010762762,0,0
05,05123,30844,.00071732257,.00099394657,.00070765469,.0010762762,1,0
05,05125,53380,.00044906096,.00069029443,.00070765469,.0010762762,0,0
05,05127,9680,.0004039476,.00072739198,.00070765469,.0010762762,0,0
05,05129,8830,.00025640588,.00036084739,.00070765469,.0010762762,0,0
05,05131,95389,.00099081022,.0014490485,.00070765469,.0010762762,1,1
05,05133,14059,.0010779693,.0017116305,.00070765469,.0010762762,1,1
05,05135,14636,.00028692503,.00042757893,.00070765469,.0010762762,0,0
05,05137,9049,.00037305243,.00054775056,.00070765469,.0010762762,0,0
05,05139,48564,.00082170725,.0011909972,.00070765469,.0010762762,1,1
05,05141,13357,.00072324206,.0013333132,.00070765469,.0010762762,1,1
05,05143,100731,.00084832602,.0012131123,.00070765469,.0010762762,1,1
05,05145,50996,.0010047122,.0014970098,.00070765469,.0010762762,1,1
05,05147,11197,.0005175494,.00075684686,.00070765469,.0010762762,0,0
05,05149,17043,.00091360119,.0012652432,.00070765469,.0010762762,1,1
06,06001,1108791,.00065962411,.00098790927,.00070765469,.0010762762,0,0
06,06005,19502,.00054633792,.00092745741,.00070765469,.0010762762,0,0
06,06007,144879,.00072520564,.0010918841,.00070765469,.0010762762,1,1
06,06009,20922,.00034379965,.00049868796,.00070765469,.0010762762,0,0
06,06011,12871,.00061981677,.00093957921,.00070765469,.0010762762,0,0
06,06013,658588,.00060596335,.00094378431,.00070765469,.0010762762,0,0
06,06015,18331,.00087776547,.0013733141,.00070765469,.0010762762,1,1
06,06017,86590,.00028673199,.00044468863,.00070765469,.0010762762,0,0
06,06019,517717,.0006916094,.0010594726,.00070765469,.0010762762,0,0
06,06021,21503,.00048296651,.00068043434,.00070765469,.0010762762,0,0
06,06023,108930,.00065059372,.00095494092,.00070765469,.0010762762,0,0
06,06025,92602,.00062924944,.00091931515,.00070765469,.0010762762,0,0
06,06027,17906,.0010344214,.0015809147,.00070765469,.0010762762,1,1
06,06029,406458,.00051725388,.00074071222,.00070765469,.0010762762,0,0
06,06031,74272,.00071726774,.0011515395,.00070765469,.0010762762,1,1
06,06033,36833,.00053995312,.00083461788,.00070765469,.0010762762,0,0
06,06035,21853,.00062662631,.00097535376,.00070765469,.0010762762,0,0
06,06037,7502452,.00069686398,.0010530845,.00070765469,.0010762762,0,0
06,06039,63986,.00072415511,.0011665386,.00070765469,.0010762762,1,1
06,06041,222984,.00083358085,.001297296,.00070765469,.0010762762,1,1
06,06043,11201,.0002879854,.00036265189,.00070765469,.0010762762,0,0
06,06045,67096,.00048760761,.00072379166,.00070765469,.0010762762,0,0
06,06047,135648,.00050618162,.00075592956,.00070765469,.0010762762,0,0
06,06049,8685,.00025805322,.00035046804,.00070765469,.0010762762,0,0
06,06053,292262,.00070565741,.0011016516,.00070765469,.0010762762,0,1
06,06055,99365,.00056840904,.00090059696,.00070765469,.0010762762,0,0
06,06057,52591,.00050398841,.00082354876,.00070765469,.0010762762,0,0
06,06059,1948101,.0005002442,.00076664251,.00070765469,.0010762762,0,0
06,06061,118381,.00062821974,.00098090968,.00070765469,.0010762762,0,0
06,06063,17448,.00011219534,.00019705127,.00070765469,.0010762762,0,0
06,06065,669614,.0005959837,.00091492332,.00070765469,.0010762762,0,0
06,06067,788004,.00068436889,.0010367874,.00070765469,.0010762762,0,0
